RichardWarburton/java-final-benchmark;1.6;1.6
rkraneis/rtree;1.8;
rmpestano/cukedoctor;1.7;1.7
rnc/jmh-benchmarks;1.7;
RoaringBitmap/RoaringBitmap;;
robinst/autolink-java;;
robinst/microbenchmarks;1.8;1.8
rodolfodpk/myeslib2;;
RodrigoRubino/DC-UFSCar-ES2-201601-Grupo-Brainstorm;1.8;1.8
rolve/better-checks;1.6;1.6
rsby/gunmetal;;
rslemos/cobolg;1.6;1.6
rslemos/pet-grammars;1.6;1.6
rsocket/rsocket-java;;1.8
RTBHOUSE/avro-fastserde;1.8;1.8
RTBHOUSE/neural-network-native-ops;1.8;1.8
ruediste/salta-benchmark;1.8;1.8
runidle/runidle-testing;1.8;1.8
ruslan-sverchkov/aho-corasick;;
rxin/jvm-unsafe-utils;1.6;1.6
s4ke/moar;1.8;1.8
sajato/logw;;1.8
salyh/jsr353-benchmark;1.7;1.7
Sandyarathi/Lab2gRPC;1.6;1.6
sangupta/gather;1.7;1.7
sboesebeck/morphium;1.8;1.8
sbwdlihao/chainj;;
SeanPMiller/containers;1.8;
SerCeMan/jmh-spring;1.7;1.7
shalinmangar/solr-jmh-tests;1.8;
shunfei/indexr;1.8;1.8
simonpatrick/stepbystep-java;1.8;1.8
SlimRoms/android_external_okhttp;;
smarr/GraalCompiler;;
smoketurner/graphiak;1.8;1.8
smoketurner/notification;11;11
smoketurner/uploader;11;11
snazy/ohc;1.8;1.8
snikiforov4/try-geolocation;;JavaVersion.VERSION_1_8
SoatGroup/benchamrk-lambda;1.7;
sormuras/treasure;;
sparkoo/Java-Grande-JMH;1.7;
spiffykahuna/TIJ4-code_idea;1.6;
spotify/apollo;1.8;1.8
spotify/completable-futures;1.8;1.8
spotify/missinglink;;
spotify/netty-zmtp;1.6;1.6
spotify/sparkey-java;;
spriet2000/handlers;1.8;1.8
spriet2000/vertx-http-router;1.8;1.8
spring-cloud/spring-cloud-sleuth;1.8;1.8
springside/springside4;1.6;
square/okio;JavaVersion.VERSION_1_7;JavaVersion.VERSION_1_7
Squarespace/less-compiler;1.8;1.8
Squarespace/template-compiler;1.8;1.8
SquidPony/SquidLib;11;1.7
srvaroa/jbcnconf;1.8;1.8
ssaarela/javersion;1.8;1.7
stagemonitor/stagemonitor;JavaVersion.VERSION_1_8;JavaVersion.VERSION_1_8
stewsters/stewsters-util;1.8;1.8
structlogging/structlogger;1.8;1.8
sujanctg2005/test-project;1.6;
svenruppert/rapidpm-microservice;10;10
Swrve/rate-limited-logger;1.8;1.8
taichi/jmh-gradle-ide;1.8;1.8
taichi/json-benchmarks;1.8;1.8
takari/bpm;1.8;1.8
tallerjavaunicen/TallerJava;1.8;1.8
taojiaenx/netty-source-study;1.7;1.7
tdunning/t-digest-benchmark;1.7;1.7
Techcable/Event4J;1.8;
TechEmpower/misc;1.8;
tempredirect/GeoFun;;
terma/fast-select;1.7;1.7
terma/mutable-fast-select;1.7;1.7
thaibui/algorithms-core;1.7;1.7
thejotta/CloudSimPlusModificado;1.8;1.8
thesmythgroup/SiftXml;;1.7
thheller/shadow-pgsql;;
ThomasKrieger/benchmarks;1.7;
ThreeTen/threeten-bench;1.8;
thymeleaf/thymeleaf-benchmarks;1.5;1.5
tinyj/tinyj-lazy;1.8;1.8
titorenko/quick-csv-streamer;;JavaVersion.VERSION_1_8
tkowalcz/openjdk-jmh;1.8;
tkowalcz/presentations;1.8;1.8
tmontgomery/nuklei;1.8;1.8
tobijdc/PRNG-Performance;1.8;1.8
togglz/togglz;1.8;1.8
tommyettinger/sarong;1.8;
tomwhoiscontrary/sarcoptic;;
tools4j/decimal4j;;1.7
tootedom/herdcache;9;9
tramchamploo/buffer-slayer;1.7;1.7
traneio/future;1.8;1.8
trautonen/logback-ext;;
TridentSDK/Trident;1.8;1.8
TridentSDK/TridentSDK;1.8;1.8
ttsiodras/HexSpeak;;
TU-Berlin-SNET/tresor-pdp-caching;1.8;1.8
tudorv91/SparkJNI;1.7;1.7
tweakers-dev/objectpool-benchmarks;1.8;
twitter/hpack;1.6;1.6
txazo/java;;
tzaeschke/distributed-phtree;1.8;1.8
uber/h3-java;1.8;1.8
uber/tchannel-java;1.7;1.7
uchuhimo/kotlin-playground;JavaVersion.VERSION_1_8;JavaVersion.VERSION_1_8
udoprog/scribe;1.8;1.8
udoprog/tiny-async-java;1.8;1.8
udoprog/tiny-serializer-java;1.8;1.8
uliashkevich/native-struct;1.8;1.8
user405/test;1.8;1.8
uujava/cqengine-query-jmh;1.8;
Vanilla-Java/Microservices;1.8;1.8
Vedenin/java_in_examples;1.8;1.8
vgalloy/autocatch;;
vibneiro/dispatching;1.7;1.7
victor-cr/template-text-parser;1.8;1.8
victor-cr/threadlocal-benchmark;;
vietj/reactive-pg-client;;
viniciusfbarbosa/DC-UFSCar-ES2-201601-Grupo-AMTV-;1.8;1.8
virsox/cepsim;1.6;1.7
VitrifiedCode/JavaUtilities;1.8;1.8
vladimir-bukhtoyarov/bucket4j;1.8;1.8
vladimir-bukhtoyarov/rolling-metrics;1.8;1.8
vladimirdolzhenko/gflogger;1.8;1.8
vladimirdolzhenko/hashCodeLegend;1.7;1.7
vlsi/compactmap;1.5;
volkodava/disruptor-benchmark-tests;;
volodarsky/zephyr-benchmark;1.7;1.7
volodin-aa/openjdk-benchmark;1.8;1.8
vongosling/jvm-serializer;1.8;1.8
vsch/flexmark-java;;
vsonnier/hppcrt;1.8;1.8
waffle/waffle;1.8;1.8
wallerlab/yoink;;1.8
wavesoftware/java-eid-exceptions;;
wenerme/seq;1.7;1.7
wesamhaboush/furmat;1.8;1.8
wesleyegberto/courses-projects;1.8;1.8
whitingjr/batch-rewrite-statements-perf;;
willhaben/blog;1.8;1.8
witi83/jmh-primitive-data-types;1.8;
witi83/jmh-streams;1.8;
wondee/faststring;1.7;1.7
Workiva/frugal;1.8;1.8
wotifgroup/wotif-logutils;1.6;1.6
x-stream/xstream;1.7;1.7
xiajunsongfan/scud;1.8;1.8
XueweiKent/LockedTransaction;;
xzy256/grpc-java-mips64;1.6;1.6
y-lan/presto;;
yanchith/pattern;;JavaVersion.VERSION_1_8
yandex/yoctodb;1.8;
yshahun/probabilistic-util;1.7;1.7
yulang/Modified-Parquet;1.6;1.6
Zappos/zappos-json;1.7;1.7
zapster/graal-core;;
zzuhtzy/okio-source-read;;
